" 3D Run ID","D","a","Tables\0D Results\T_diameter"
"216","342.316","451","0.906968"
"217","356.737","451","0.56377"
"218","371.158","451","0.972149"
"219","385.579","451","0.9686"
"220","400","451","0.272642"
"221","127.96","451","0.991669"
"222","129.919","451","0.991308"
"223","131.879","451","0.991925"
"224","133.838","451","0.992315"
"225","135.798","451","0.992937"
"226","137.758","451","0.993606"
"227","139.717","451","0.993049"
"228","141.677","451","0.9938"
"229","143.636","451","0.9946"
"230","145.596","451","0.994535"
"231","147.556","451","0.994818"
"232","149.515","451","0.995152"
"233","151.475","451","0.996034"
"234","153.434","451","0.996444"
"235","155.394","451","0.996776"
"236","157.354","451","0.996109"
"237","159.313","451","0.996939"
"238","161.273","451","0.996709"
"239","163.232","451","0.997115"
"240","165.192","451","0.996326"
"241","167.152","451","0.996929"
"242","169.111","451","0.99744"
"243","171.071","451","0.996413"
"244","173.03","451","0.995829"
"245","174.99","451","0.994777"
"246","176.949","451","0.99365"
"247","178.909","451","0.991894"
"248","180.869","451","0.990224"
"249","182.828","451","0.986932"
"250","184.788","451","0.984086"
"251","186.747","451","0.982487"
"252","188.707","451","0.977545"
"253","190.667","451","0.976274"
"254","192.626","451","0.970205"
"255","194.586","451","0.966355"
"256","196.545","451","0.964062"
"257","198.505","451","0.959825"
"258","200.465","451","0.955265"
"259","202.424","451","0.955205"
"260","204.384","451","0.955073"
"261","206.343","451","0.955126"
"262","208.303","451","0.956178"
"263","210.263","451","0.961083"
"264","212.222","451","0.963353"
"265","214.182","451","0.96698"
"266","216.141","451","0.971197"
"267","218.101","451","0.973828"
"268","220.061","451","0.976342"
"269","222.02","451","0.976122"
"270","223.98","451","0.978058"
"271","225.939","451","0.981335"
"272","227.899","451","0.980865"
"273","229.859","451","0.982428"
"274","231.818","451","0.983839"
"275","233.778","451","0.984088"
"276","235.737","451","0.984515"
"277","237.697","451","0.984984"
"278","239.657","451","0.985378"
"279","241.616","451","0.985433"
"280","243.576","451","0.988415"
"281","245.535","451","0.975072"
"282","247.495","451","0.984249"
"283","249.455","451","0.98584"
"284","251.414","451","0.985923"
"285","253.374","451","0.984862"
"286","255.333","451","0.985104"
"287","257.293","451","0.984916"
"288","259.253","451","0.985153"
"289","261.212","451","0.985446"
"290","263.172","451","0.983712"
"291","265.131","451","0.98368"
"292","267.091","451","0.984406"
"293","269.051","451","0.983726"
"294","271.01","451","0.982378"
"295","272.97","451","0.982502"
"296","274.929","451","0.981995"
"297","276.889","451","0.981216"
"298","278.848","451","0.981147"
"299","280.808","451","0.981366"
"300","282.768","451","0.9793"
"301","284.727","451","0.979688"
"302","286.687","451","0.977332"
"303","288.646","451","0.975781"
"304","290.606","451","0.975474"
"305","292.566","451","0.975275"
"306","294.525","451","0.975305"
"307","296.485","451","0.972551"
"308","298.444","451","0.971315"
"309","300.404","451","0.971576"
"310","302.364","451","0.97091"
"311","304.323","451","0.970169"
"312","306.283","451","0.969488"
"313","308.242","451","0.969674"
"314","310.202","451","0.97074"
"315","312.162","451","0.970688"
"316","314.121","451","0.971892"
"317","316.081","451","0.977394"
"318","318.04","451","0.983209"
"319","320","451","0.98997"
"0","","","0.98997"
